E1: 	bien / entonces <ruido_fondo>roce constante con la mesa</ruido_fondo> estamos aquí en / en la maestría / ehh   hoy es cuatro / cinco de<alargamiento/>
I: 	compro cualquier cosita / compro un poquito / y ellas después / en la semana / ellas me llevan algo también / y ellas me dicen que lo venda /
E1: 	ya /
I: 	pero entonces / yo no lo vendo / / eso me saca de<alargamiento/> de apuro / <ruido = "manipulando la grabadora"/>
E1: 	ya /
I: 	y digo / <cita>cónchale un detalle pa’ la profesora que se porto chévere conmigo</cita> y <ruido = “golpe”> / o que de repente está cumpliendo años / o por el día de las madres / entonces / bueno si es mamá / <risas=”E1, I”/> entonces le regalo un zarcillito / le regalo<alargamiento/> <ruido = “golpe”> / si yo veo que los zarcillos son como muy poquito entonces le meto un zarcillo / le meto una su <palabra_cortada/> / un anillo <ruido = “golpe”> /  y así / y entonces hago como decir un jueguito /
E1: 	<simultáneo> aha </simultáneo> / /
I: 	o algo que / 
E1: 	<simultáneo> aha </simultáneo> / /
I: 	se vea así bueno / más o menos <ruido = “golpe”> /  
E1: 	ajá /
I: 	sí / siempre / siempre le regalo /
E1: 	¿y a los varones? / ¿a<alargamiento/> sus hijos qué le compra? /
I: 	este<alargamiento/> le compro<alargamiento/> sus pulseritas / hay algunos que les compro anillos también así<alargamiento/> <ruido = “golpe”> / el pequeño es que me tiene<alargamiento/> / <cita>ay mamá regálame una cadena</cita> una cadena que el <extranjero>hobbie</extranjero> de él de / es / / los cantantes estos / ¿cómo es que se llaman? /
E1: 	<término>¿reguetoneros?</término>
I: 	sí / él es de re <palabra_cortada/> le gusta puro <extranjero>reggaeton</extranjero>
	<ininteligible/>
E1: 	¿Wisin y Yandel?
I: 	Wisin y Yandel /
E1: 	ya / <ruido = “golpe”> /  
E2: 	¿los <término>bling  /bling</término>?
I: 	ese / Wisin y Yandel / entonces quiere que le regale la cadena que lleve la Y / y la W / pegadas / los dos juntos /
E2: 	sí / 
I: 	<simultáneo> los dos </simultáneo> / /
E2: 	eso se llama <término>bling / bling</término>
I: 	bueno / tengo que mandarla a hacer /
E1: 	¿ah pero es mandada a hacer y todo? /
I: 	sí porque<alargamiento/> no la venden así / yo he preguntado en varias joyerías y no<alargamiento/>
E1: 	ya /
I: 	no me la venden / / sino e <palabra_cortada/> / es mandada a hacer / compran la letra o<alargamiento/> / o especifican como es el modelo que uno la quiere y / y ellos te la 
	hacen / / pero no es / no es / no es tan económica pues / / 
E1: 	<simultáneo> tiene que reunir </simultáneo> / 
I: 	entonces<alargamiento/>
E1: 	tiene que reunir platica para /
I: 	<simultáneo> uy bastante </simultáneo> /
I: 	entonces le dije <cita>aguántate un poco / todavía no</cita> /
E1: 	¿y para diciembre para el / niño Jesús? / de repente / <risas=”E1,I”/>
I: 	mmm / / de repente / porque más bien ahora como que quiere es la computadora / me tiene loca con esa computadora /
E1: 	¿ah pero eso como que es mejor no? / 
I: 	sí /
E1: 	¿pero más caro me imagino / también? / /
I: 	sí / / entonces tenemos que hacer entre el papá / y<alargamiento/> / y yo que le compramos una computadora /
E1: 	¿y usted también trabaha en el liceo? / tiene dos /
I: 	<simultáneo> no </simultáneo> / /
E1: 	¿cuántos trabajos tiene? /
I: 	<simultáneo> uno solo </simultáneo> / /
E1: 	solo tiene /
I: 	el de la <siglas=[UCV]>uceve</siglas>
E1: 	¿y cómo le va ahí? /
I: 	chévere / / este<alargamiento/> con mis compañeras bueno / excelente / / y<alargamiento/> nos reunimos muy poco / ah bueno al principio / nos reuníamos más / / cuando comenzó el grupo /
E1: 	ajá /
I: 	nos reuníamos los viernes prepara <palabra_cortada/> sabes los viernes / y<alargamiento/> que era todo lo <palabra_cortada/> cuando era el último pues /
E1: 	ajá /
I: 	preparábamos un almuerzo <ruido = “golpe”> / 
E1: 	<simultáneo> ¿dónde? </simultáneo> / /
I: 	entonces / allá mismo /
E1: 	ajá /
I: 	cada quien / llevaba algo / / por  decir ella que llevaba la ensalada / la otra llevaba el pan / otra el refresco y así cosas / y nos reuníamos todos para comer / después el postre que si un quesillo <ruido = “golpe”> /  que si una torta <ruido=“golpe”> /  y la pasábamos chévere / pero claro el grupo ya después se ha<alargamiento/> dispersado / los que estaba ahí antes / ya no están / fueron cambiados / / 
E1: 	¿pero tenían un lugar así en? / pre <palabra_cortada/> que la misma universidad les da <palabra_cortada/> le permitía<alargamiento/> / 
I: 	no<alargamiento/> nosotros / pedíamos un salón que estaba desocupado / y entonces bueno / ahí nos metíamos toditos / y como no le tocaba<alargamiento/> / / clases sino como hasta la una / una y pico / o hasta las dos / y como nosotros entramos a trabahar es a las do <palabra_cortada/> a la una / 
E1: 	uhu /
I: 	entonces aprovechamos como dice el almuerzo hasta la una / desde las doce hasta la una / una hora /
E1: 	pero eso suena muy bonito / esa reuniones /
I: 	sí<alargamiento/>
E1: 	y ahora no por eso que dice usted que ya cada uno se fue por /
I: 	sí cada quien está <sic>dispersao</sic> / aunque por el grupito / el poquito que queda / lo <tiempo=”25:00”/> hemos hecho pero fuera / / <cita>vente vámonos y<alargamiento/>vamos pa’ un <extranjero>restaurant</extranjero> y<alargamiento/> comemos por allá<alargamiento/> </cita> <ininteligible/>
E1: 	¿eso es cada cuanto tiempo? /
I: 	eso<alargamiento/> ya es ahora como dice / u <palabra_cortada/> ca <palabra_cortada/> una vez al mes <risas=”I, E1”/> porque no<alargamiento/> / no todas tenemos el<alargamiento/> /
E1: 	la posibilidad /
I: 	<simultáneo> exacto </simultáneo> /
I: 	sino / compromiso / 
E1: 	¿y eso es los viernes? / 
I: 	uhu /
E1: 	¿y para dónde van? / ¿por aquí cerca / o se van un poquito más lejos? /
I: 	<simultáneo> nos vamos pa’ que </simultáneo> / se / Chacaito por ahí por esos lados /
E1: 	¿de noche / o no? /
I: 	en la tarde después que salgamos / porque trabahamos hasta las tres de la tarde /
E1: 	ya /
I: 	entonces desde esa hora no / nos vamos / y estamos como hasta las cinco<alargamiento/> hasta las seis<alargamiento/> dependiendo / <cita>¡ay no que tengo que irme rápido porque los muchachos los dejé solos! / ¡ay no que me tengo que ir porque mi esposo me está llamando!</cita> y entonces cada quien empieza a deci<alargamiento/>r que me tengo que ir / y bueno / entonces ya<alargamiento/> ya <ininteligible/> /
E1: 	ah pero que bueno no / ¿y son puras mujeres? / ¿son puras mujeres? /
I: 	<simultáneo> sí </simultáneo> / /
I: 	porque los hombres / que son muy pocos los que trabahan con nosotros que son dos nada más / y son mayores / / cada quien tiene sesenta años y<alargamiento/> <risas=”I”/> entonces no / no se meten en esos compromisos /
E1: 	¿pero son? /
I: 	<simultáneo> todo muy bien </simultáneo> /pero son
E1: 	¿simpáticos los señores o son? / 
I: 	sí / sí / sí<alargamiento/> ay el señor de<alargamiento/> hay uno de ellos que<alargamiento/> que le gusta cantar /
E1: 	ajá /
I: 	a veces se lleva su guitarra / y en la hora del almuerzo entonces / canta / y entonces nos ponemos a hechar broma nosotros ahí con él / / y cuando hay cumpleaños / <cita>ah<alargamiento/> D cumple años mañana  /entonces vamos y le picamos una torta / cada quien / entonces / pero <ininteligible/> / D mañana cumple año / ya te acuerdas / entonces pa’ que des pa’ que<alargamiento/> vamos a comprarle <ruido = “golpe”> la torta</cita> / y así nos ponemos toditos y / / <ruido = “golpe”> cada quien pone u <palabra_cortada/>como dice un granito / y le damos la sorpresa <ruido = “golpe”> a D de que / / los compañeros le canten cumpleaños / así se lo hicimos al jefe hace<alargamiento/> ¿qué? / el último del mes pasado / el cumplió año el veintiocho / / y entonces le mandamos a hace<alargamiento/>r una torta / / y la torta traía dos lolas / <risas=”E1”/> que era una vela / / era una vela / y entonces bueno nosotros estuvimos ahí con el compartiendo un ra <palabra_cortada/> / él llevo a su esposa / y compartimos nosotros un rato ahí / / una hora / una hora y un poquito más po <palabra_cortada/> como el jefe estaba con nosotros bueno /
E1: 	ajá /
I: 	compartió con nosotros /
E1: 	¿pero usted trabaha para la <siglas=[UCV]>uceve</siglas> / <siglas=[UCV]>uceve</siglas> o es una empresa que trabaha para la <siglas=[UCV]>uceve</siglas> 
I: 	<simultáneo> una empresa que le presta servicio a la <siglas=[UCV]>uceve</siglas>  </simultáneo> / /
E1: 	umm bien / ya / / ya /
I: 	es como dice privada /
E1: 	ya /
I: 	<simultáneo> es una empre <palabra_cortada/> privada </simultáneo> / /
E1: 	¿es decir que ustedes reciben dinero por esa empresa? /
I: 	ajá /
E1: 	¿y le dan todo a ustedes / aguinaldo<alargamiento/> <extranjero>cestatickets</extranjero> <ininteligible/>
I: 	bueno<alargamiento/> en realidad ahorita no sabemos / esperamos que ahorita en diciembre sí <risas=”I”/> porque<alargamiento/> / / el sueldo sí / el sueldo nos van a pagarrnos / también los <extranjero>cestatickets</extranjero>
E1: 	uhu /
I: 	aunque ahorita nos están debiendo dos meses /
E1: 	uhu / /
I: 	vamos a ver si<alargamiento/> ahora pa’ el último de este mes me lo pagan <ruido= golpe”> / / o<alargamiento/> pa’ el quince / o pa’ el último de este mes nos pagan los / los tres meses de <extranjero>cestatickets</extranjero>
E1: 	mmm / ya /
I: 	y lo de diciembre bueno / ya quedará pa’ enero / / pero las muchachas ya no quieren seguir trabahando ahí /
E1: 	¿se quieren cambiar? /
I: 	se quieren cambiar / sí porque están cansadas / a veces falta mucho<alargamiento/> sabes / hacen falta personas / porque hay / había / hay / había otra compañía que <palabra_cortada/> <ruido_fondo>suena el teléfono</ruido_fondo> ay sonó el teléfono / / disculpa /
E1: 	no se preocupe /
I: 	<simultáneo> aló </simultáneo> / <interrupción_de_grabación/>
	<ininteligible/>
E1: 	¿era su hijo? /
I: 	mi esposo /
E1: 	ah ya / a ver entonces / 
I: 	<simultáneo> ¿en qué quedamos? </simultáneo> /
E1: 	que las muchachas se quieren ir porque / 
I: 	ah<alargamiento/>bueno sí las muchachas se quieren ir porque / en realidad<alargamiento/> su ya<alargamiento/> lo que pasa es que hay / estaba otra compañía la co <palabra_cortada/> otra compañía se llamaba Jopalim / o / se llamaba no / se llama /
E1: 	uhu / /
I: 	y yo<alargamiento/> entré en esa empresa / entonces / como esa empresa la sacaron porque se le terminó el contrato / ahí en la <siglas=[UCV]>uceve</siglas>
E1: 	uhu /
I: 	entonces<alargamiento/> ganó <ruido = “golpe”> fue donde estoy ahorita / / entonces como dice pues ahora estoy contratada por está compañía / y<alargamiento/> ella / claro nos hizo<alargamiento/> / que llenáramos las planillas las que quisiéramos y ella<alargamiento/> acá<alargamiento/> cómo se dice? / acaparó lo / esa / la las <vacilación/> las personas que estaban allá en la otra compañía / las acaparó para ésta / <ruido = “golpe”> / y nos quedamos ahí / por eso es que / tengo un año / ahí en la <siglas=[UCV]>uceve</siglas> pues / y en la compañía tengo<alargamiento/> como cuatro cinco meses /
E1: 	¿y antes donde trabahaba? / / <ininteligible/> con la compañía / ofrece servicio a distintos lugares /
I: 	uhu
E1: 	¿y antes de la <siglas=[UCV]>uceve</siglas> en qué lugar? /
I: 	bueno / en realidad no se donde estaba / bueno e <palabra_cortada/> ésta empresa donde estoy ahorita /
E1: 	uhu /
I: 	tiene en el metro / <ruido = “golpe”>
E1: 	ya /
I: 	eh<alargamiento/> también tiene<alargamiento/> en la <vacilación/> en / el Teresa Carreño /
E1: 	ya /
I: 	también tienen personal ahí trabahando /
E1: 	ya /
I: 	y<alargamiento/> no sé / en otras partes más donde /
E1: 	mmm / ya / 
I: 	<simultáneo> tiene </simultáneo> /
I: 	pero Jopalim ha <tiempo=”30:00”/> estado ahí en la / en la <siglas=[UCV]></siglas>
E1: 	<simultáneo> mmm /  </simultáneo> /
I: 	hay tiene<alargamiento/>en / / ¿cómo es qué se llama la de<alargamiento/> <ruido=“golpe”> la que está cerca del / del / del cafetín éste<alargamiento/> / / hum <palabra_cortada/> / / humanidades no / no en humanidades no / <ruido=“golpe”> /
E2: 	¿cuál? 
I: 	<simultáneo> donde está la otra </simultáneo> /
I: 	¿cuál es la otra facultad que está por ahí? / 
E2: 	<simultáneo> ¿ingeniería? </simultáneo> /
I: 	ingeniería /
E1: 	ya /
I: 	tiene ingeniería / tiene la de<alargamiento/>la del rectorado /
E1: 	uhu /
I: 	eh<alargamiento/> la de / médicos / la de / arriba / la de medicina /
E1: 	uhu /
I: 	por el comedor / también tiene va <palabra_cortada/> sabes ella tiene varias <ruido = “golpe”> / / que / que le<alargamiento/> que le cubre su / las personas ahí trabahando / / entonces claro yo me quedé en ésta porque en<alargamiento/> Jopalim no tenía para darme<alargamiento/> / / darme chance sabes / me dijeron que después de tres meses podía volver otra vez a la compañía /
E1: 	ya /
I: 	entonces ol <palabra_cortada/> y me estaban llamando / pero no / no quise salirme porque en realidad no sé / / yo dije <cita>si me salgo ahorita / ¿qué es lo que falta para diciembre? / pa’ diciembre no falta nada</cita> /
E1: 	<simultáneo> no / no </simultáneo> / /
I: 	entonces aquí  / ni agarro aquí / ni agarro aquí <ruido = “golpe”> /
E2: 	exacto /
I: 	entonces preferí quedarme aquí la <palabra_cortada/> y veo a ver / si bueno / si todavía tengo chance de irme para allá / entonces me voy para allá y si no bueno /
E1: 	¿y antes de trabahar en la universidad <ruido = “golpe”> / ¿dónde trabahabas I? /
I: 	este<alargamiento/> en<alargamiento/> / / en la de / de<alargamiento/> el comedor de la<alargamiento/> / de / de la biblioteca / allá en / en<alargamiento/> en la Avenida Panteón <ruido = “golpe”> /
E1: 	ah en la bibli <palabra_cortada/> / Biblioteca Nacional /
I: 	ajá / en la Biblioteca Nacional / ahí trabajé también / ahí trabajé dos años /
E1: 	ya /
I: 	yo estuve trabahando ahí / en el comedor /
E1: 	uhu /
I: 	ahí<alargamiento/> trabahaba como<alargamiento/> en la cocina pues /
E1: 	ya / /
I: 	haciendo el desayuno / empanadas / <risas=”E1,I”/> 
E1: 	<entre_risas>¡qué rico!</entre_risas>
I: 	hacía empanadas <ruido=“golpe”> arepa<alargamiento> /s / este<alargamiento/> plátano horneado <ruido=“golpe”> / /  ehh   ponían<alargamiento/> <ruido = “golpe”> a hornear pastelitos / yo aprendí muchas cosas ahí /
E1: 	ah pero cuéntenos de cocina / que a mí me gusta la cocina / 
E2: 	<simultáneo> ¿le gusta la cocinar ? </simultáneo> / / <risas=”todos”> ¿le gusta cocinar? /
I: 	ay bastante / / siempre y cuando <sic>haiga<sic> los ingredientes /
E2: 	exacto /
I: 	cuando tenga los ingredientes / / y sin embargo / muchas veces / / no tengo ingredientes y<alargamiento/> me las invento / <ruido = “golpe”> / busco la manera / y sí <ruido = “golpe”> / me sale mi comida bien /
E2: 	¿qué es lo que más le gusta cocinar? /
I: 	ay mira / ¿qué me gusta cocinar? <risas=” I”/> / / sí yo digo de<alargamiento/> todo <ruido = “golpe”> / porque cuando uno hace las cosas con amor con cariño / mira / todo me sale bien / gracias a Dios / de verdad / pero<alargamiento/> <ininteligible/>
E1: 	ahí de cocina pues para nosotros /
I: 	a mí en<alargamiento/> realidad / mira a mí me gusta mucho como dicen <ruido = “ladrido de perro”> / / pica<alargamiento/>r <ruido = “golpe”> /
E1: 	ajá / <ruido = “golpe”> /
I: 	me gusta<alargamiento/> preparar / como decir / un buen arroz con pollo / / el pasticho / que a mis hijos les fascina / / demasiado / hago unos<alargamiento/> callos / / bueno no tanto callos / ese se llama un<alargamiento/> cocido Gallego / / mi esposo me enseñó como hacerlo / /
E1: 	¿eso es con la panza del cochino no? /
I: 	ajá /
E1: 	ya /
I: 	sí y entonces bueno / / ellos se deleitaron con su<alargamiento/> <ruido = “golpe”> / con su cocido Gallego /
E1: 	¿y qué lleva eso? / <ruido = “golpe”> /
I: 	garbanzos / ehh   lleva<alargamiento/> <ruido= “golpe”> salchichón /
E1: 	<simultáneo> uhu </simultáneo> /
I: 	no salchichón no / chorizo<alargamiento/>
E1: 	uhu /
I: 	eh<alargamiento/> / / costillita de cochino / ehh   / ¿qué más lleva? / / todo lo que tenga que ver con<alargamiento/> cosas así<alargamiento/> chuletas ahumadas <ruido = “golpe”> / ehh   pa <palabra_cortada/> papitas <ruido = “golpe”> /ehh / zanahoria /
E1: 	es como una especie de mondongo pero<alargamiento/> de por allá /
I: 	exacto / es un cocido Gallego que lleva<alargamiento/> todo eso /
E1: 	<simultáneo> aha / y / ¿y la panza? </simultáneo> / ¿cómo se hace la panza? / porque la panza creo que<alargamiento/> para que se que <palabra_cortada/> / quede bien es de<alargamiento/> 
I: 	<simultáneo> blandita </simultáneo> / / de / este sí<alargamiento/> se limpia bien / que quede bien limpia /
E1: 	<simultáneo> uhu </simultáneo> / / y después entonces uno la monta<alargamiento/> como dice en su olla de / de presión pa’ que ella se ablanda / um / tampoco que quede tan blandita / porque mientras se está cocinando<alargamiento/> / o sí más o menos blandita / entonces aparte está cocinando todo /
E1: 	ya /
I: 	el garbanzo / se está cocinando aparte / el garbanzo / hay que quitarle como dice la concha /
E1: 	¿ah sí?
I: 	porque no<alargamiento/> sí / porque no / no quede sino nada más el puro grano pues /
E1: 	ya / 
I: 	ese lleva como dice su<alargamiento/> su trabajo / / tienes que ponerlo a remojar como<alargamiento/> / / un día / todo un día / / y<alargamiento/> si es para<alargamiento/> um / sí todo un día / pa’ el día siguiente prepararlo <ruido= “golpe”> / entonces ahí le hechas sus papas / después que esté el<alargamiento/> el garbanzo blandito <ruido= “golpe”> /  le hechas su papa / su zanahoria / todos su / sus aliños /
E1: 	¿y qué aderezo le pone / exacto / que aliños se ponen? /
I: 	este / cilantro / pimentón / ají<alargamiento/> ajo / ehh   cebollín / ajoporro <tiempo=”35:00”/> todo eso / picadito y que quede como un guiso ahí bien / aliñadito <ruido= “golpe”> /  y después se lo lanzo <ruido= “golpe”> /  
E1: 	¿y con qué se lo / lo / lo acompaña después? /
I: 	eso<alargamiento/> más que todo se acompaña es con pan /
E1: 	ya /
I: 	eso no se<alargamiento/> muchas personas dirán bueno / con un poquito de arroz / pero no eso no combina /
E1: 	<simultáneo> ya </simultáneo> / /
I: 	no pega /
E1: 	ya /
I: 	queda mejor es como / en realidad el viene siendo como si fuera una sopa pues /
E2: 	<simultáneo> exacto / una especie de sopa </simultáneo> / / 
E1: 	ya / 
I: 	entonces es con pan / 
E1: 	si he comi <palabra_cortada/> yo he comido cocido Español / pero no con / no con la panza /
I: 	<simultáneo> aha </simultáneo> / /
E1: 	sino con garbanzos /
I: 	<simultáneo> ah okey </simultáneo> / / 
E1: 	y cochinito y / / ¿y que más cocina? / sopas ¿le gusta hacer sopas no? /
I: 	sí / hago sopa<alargamiento/> de res /
E1: 	uhu /
I: 	tengo tiempo que no hago es una de / de mondongo <risas=” I”/> pero sí a mí me encanta mucho la cocina / de verdad que sí /
E1: 	¿y cuando hablaba de guiso qué ma <palabra_cortada/> / además de guisar carnes ¿qué más guisa? /
I: 	bueno / este<alargamiento/> / / le digo sinceramente <entre_risas>a mí la lengua no me gusta para nada<entre_risas> <risas=” E1”/> <entre_risas>yo no guiso lengua porque no me gusta<entre_risas> <risas=” E1”/> <entre_risas>mi esposo sí / pero yo no se la preparo<entre_risas> porque ¿pa’ que voy a comprar yo una lengua? / ¿pa’ que se la coma él sólo? / no / 
E1: 	<simultáneo> claro </simultáneo> / /
E2: 	igual que yo / a mí tampoco me gusta eso /
I: 	a mí no me gusta la lengua /
E1: 	ya /
I: 	tampoco me gusta la patica de cochino / y la patica de cochino se la pongo a algunos granos /
E1: 	<simultáneo> uhu </simultáneo> / /
I: 	pa’ que le dé gusto /
E1: 	<simultáneo> uhu </simultáneo> / / 
I: 	y se la doy  / / ah bueno a mi esposo que es que le gusta / porque a mis hijos tampoco les gusta /
E1: 	ya / /
I: 	para nada / la <palabra_cortada/> a nosotros nos dicen que nosotros somos <lengua>sifrinos</lengua> <risas=” E1, I”/>
E1: 	<entre_risas>¿por qué? / ¿por eso?<entre_risas> /
I: 	porque / eso / porque no comemos / yo les digo <cita>no / no / no es <lengua>sifrino</lengua> </cita>
E1: 	¿y quién le dice eso? /
I: 	bueno mi esposo echando broma / <risas=” E1”/> pero / este<alargamiento/> / / ¿cómo se llama? / / yo le digo <cita>no <lengua>sifrino</lengua> no sino es que no me gusta / yo no me la <palabra_cortada/> no / o sea no me gusta comérmelo pues /
E1: 	¿y pescados? / ¿le gustan? /
I: 	pescado sí / / lo que pasa es que no le sé los nombres a los pescados /
E1: 	bueno no importa / pero ¿cómo lo prepara? /
I: 	hay uno que ehh   <término>pisillito</término> de pescado / que es así <sic>esmechao</sic> /
E1: 	ajá /
I: 	entonces bueno eso lleva<alargamiento/> su cebolla / su<alargamiento/> cebollín / su<alargamiento/> cilantro / su / esteehh / cebollín / mucho ají <ruido= “golpe”> y ajo / pones a sofreír todos sus aliños / y después entonces / sí le hechas el pescadito <ininteligible/> <ruido= “golpe”> guisado /
E1: 	<simultáneo> ¿para comer con arepita? </simultáneo> /
I: 	con arepa / mi esposo se la come con casabe /
E1: 	<simultáneo> uhu </simultáneo> /
I: 	con plátano verde /
E1: 	<simultáneo> uhu </simultáneo> / / / 
I: 	y ya / porque con arroz no me gusta <risas=”I”/> ah y ensalada / 
E1: 	claro porque su esposo es del Tigre /
I: 	sí /
E1: 	sí  /que él tiene su toque Oriental /
I: 	 </simultáneo> /ahas/
E1: 	así que el casabe lo debe /
I: 	 </simultáneo> /sís/
E1: 	acompañar con todo /
I: 	a él le gusta mucho con la so <palabra_cortada/> en la sopa<alargamiento/> sí / y en la / sí en la comida / / para todo a él le gusta mucho el casabe / pero más que todo se la come es con sopa o con grano /
E1: 	ya /
I: 	cuando hace u <palabra_cortada/> cuando hago un <término>minestrone</término> pues /
E1: 	¿eso es con pastica no? / ¿eso es grano con pasta? /
I: 	sí / / esa pasta que es así la<alargamiento/> la chiquitita /
E1: 	 </simultáneo> /la cortiquita<simultáneo> 
E1: 	ajá /
I: 	pero yo preparo <ruido= “golpe”> el frijolito /
E1: 	 </simultáneo> /uhu<simultáneo> 
I: 	y las caraotas blancas / / con eso<alargamiento/> / / y también bueno le hecho<alargamiento/> eso este /
E1: 	 </simultáneo> /ya<simultáneo> 
E1: 	combina / combi <palabra_cortada/> ¿combina la caraota blanca con pastica? /
I: 	uhu /
E1: 	ya /
I: 	sí / y los frijoli <palabra_cortada/> y ha <palabra_cortada/> cuando hago los frijoles también /
E1: 	ya /
I: 	este le pongo su papa / su zanahoria / y<alargamiento/> le hecho bolitas de masa /
E1: 	uhu /
I: 	este<alargamiento/> / / le pongo mmm / tocineta / o le pongo<alargamiento/> alguna costillita de repente le pongo cualquiera de las dos / o le hecho las dos / si las tengo las dos se las hecho /
E1: 	ya /
I: 	porque como eso va acompañado<alargamiento/> con el arroz / entonces / eso sirve como dice de salado pues /
E1: 	ya / claro /
E2: 	señora I y hablando de comida / bueno I /
E1: 	 </simultáneo> /ahs<risas=”todos”/>
E2: 	<entre_risas>hablando de comida / ¿cuál es su comida preferida? / la que más le gusta<entre_risas> /
I: 	la que más me gusta / mira a mí me gusta mucho el arroz / combinado con / con lo que sea / arroz con bistec y una ensalada / y tahadas /
E1: 	ah pero come sano de todas maneras /
I: 	ajá /
E1: 	¿bistec a la plancha? / ¿o se lo hace así? /
I: 	sí bistec o<alargamiento/> lo pongo a freír entonces le pongo su cebolla y su tomate /
E1: 	 </simultáneo> /ahas
I: 	y lo dejo que quede así con salsita /
E1: 	uhu / /
I: 	eso es más que todo lo que yo / más me gusta / / pollo frito / ay demasiado <risas=”I”/>
E1: 	¿pero la pieza o sólo la / la empanizado no? /
I: 	mmm / no / yo muy poco lo<alargamiento/> / lo empanizo / yo lo frito así<alargamiento/> solo /
E1: 	uhu / uhu /
I: 	nada más / este <ruido= “golpe”> con arroz o con pasta / a mí la pasta no me gusta mucho a mi esposo sí / mi esposo le gusta la pasta como se la ponga / / él se la come /
E1: 	ya /
I: 	y mi hijo / bueno los otros dos / tú sabes / mis dos hijos les <sic>gustan</sic> / es arroz /
E1: 	ya /
I: 	a ellos no les gusta casi la pasta / comen pasta porque bueno / a<alargamiento/> muchas veces es lo que hay / muchas veces /ehh  /se cansan de comer el arroz y dicen <cita>ay bueno dame la pastica</cita> <risas=”E1”/> <tiempo=”40:00”/> por lo menos anoche / anoche cenaron con pasta / / bueno pasta y / y / con carne molida / /
E1: 	¿y carne mechada hace? / ¿hace <lengua>pabellón</lengua>? / ¿no? /
I: 	no / / algunas veces hago como dice <lengua>pabellón</lengua> pero con otros tipos de carne / no con la carne mechada / 
E1: 	ya /
I: 	sino con una carne guisada<alargamiento/> o con bistec <ruido_fondo>sonido parecido al de una trompeta</ruido_fondo>
E1: 	ya /
I: 	lo pongo <ininteligible/> y le digo <cita>bueno ahí tienes tu <lengua>pabellón</lengua> </cita> <risas=”E1, I”/>
E2: 	<lengua>pabellón</lengua> a su estilo / /
I: 	claro porque es lo que hay / es como dice ahorita / ahorita a veces no<alargamiento/> no compro / porque en realidad yo no hago así<alargamiento/> / un mercadote /
E1: 	ya /
I: 	ni un medio mercado /
E1: 	ya /
I: 	compro<alargamiento/> <ruido= “golpe”> la comida de ahorita /
E1: 	uhu / /
I: 	y<alargamiento/> preparo mi comida / y bueno el que queda / / mañana complementamos con eso /
E1: 	um /
I: 	así es que vivo yo / o sea / así es que nosotros vivimos pues /
E1: 	ya / está bien /
I: 	porque<alargamiento/> mi esposo agarra los <extranjero>cestatickets</extranjero> y es pa’ pagar las deudas / yo agarro los <extranjero>cestatickets</extranjero> y es para hacer el mercado / y como estoy atrasada con dos meses / no he podido hacer el mercado /
E1: 	bueno es que así / así es que vivimos todos / realmente<alargamiento/> en la actualidad / señora I / y / I / y / y <risas=” I”/> ¿cosas dulces hace no? / ¿no le gusta hacer tortas y<alargamiento/>? / /
E2: 	por lo menos ahorita que viene diciembre / es muy<alargamiento/> tradicional el dulce de lecho<alargamiento/>za / ¿no hace nada de eso? / 
E1: 	mmm / <risas=”todos”/>
I: 	no / no / no / no lo hago / a mí más bien me regalan dulce<alargamiento/> de lecho<alargamiento/>za / o cabello de ángel / muy poco
E1: 	<ininteligible/> ¿con qué? / ¿el cabello de ángel? /
I: 	el<alargamiento/> cabello de ángel<alargamiento/> es una fruta /ehh / viene siendo como la patilla /
E1: 	ya /
I: 	pero ella se <sic>esmecha</sic> /
E1: 	ya /
I: 	sabes / que la pones a cocinar y queda así toda <sic>esmechadita</sic> /
E1: 	ya /
I: 	yo sí<alargamiento/> un día lo preparé con mi mami / mi mami / mi mami abuela / ya ella se murió /
E1: 	ya /
I: 	que ella fue la que me crió a mí /
E1: 	ya /
I: 	bueno / ehh   yo lo hacía con ella / ella le llevaban sus / sus dulces / su broma / su frutas / entonces nos ponía a nosotras a que la ayudáramos a <sic>esmecharle<alargamiento/></sic> eso y después lo hacía con papelón / y canela / y clavitos y eso quedaba espectacular /
E1: 	¿y cómo que le gusta mucho no? / ¿a usted? / ¿el dulce de lechoza y esos dulces?
I: 	no el dulce de lechoza no me gusta mucho / muy poco /
E1: 	ya /
I: 	ah en cambio lo que sí me gusta es el <lengua>maharete</lengua> / / y eso es<alargamiento/> como dicen / en semana santa /
E2: 	 </simultáneo> /semana santas/
I: 	maharete yo hago  /maharete / hago arroz con<alargamiento/> / con coco /
E1: 	 </simultáneo> /con leche tambiéns/
I: 	eh / arroz con leche / este<alargamiento/> ah<alargamiento/> la conserva no / la conserva si es verdad que<alargamiento/> es muy fuerte <risas=” E1, I”/> no me da tiempo de hacerla / /
E2: 	¿pero sí la sabe hacer? /
I: 	sí / sí llegué a prepararla / con mi mami / mi mami me ayudó / sabes / ella me enseñó muchas cosas /
E1: 	¿su mami abuela o su mami<alargamiento/>? /
I: 	mi mami abuela / / ella<alargamiento/> me enseñó muchas cosas /
E1: 	¿qué le enseñó? / ¿además de cocinar? /
